Title,Description,Organization,Location,Type,Status,Tags,Expiry Date,Family Friendly,Remote,Added By,Admin Description,Giver Applications,Volunteers Required,Approved by Admin,Rejected by Admin
" I Wish to Support and Accompany Kids During Sunday Mass, with the Sisters of Mother Theresa","Join a heartwarming initiative with the Sisters of Charity in South Malta. Every Sunday morning, these dedicated women accompany children to the Bormla Parish for mass. Your help would brighten their experience and offer valuable support. The task is simple but meaningful—offering guidance and encouragement during the service. This activity is for those with a kind spirit, eager to work with children and be part of a supportive team. With a commitment of just 1 to 2 hours each week, you can make a lasting impact. Bring along a friend or two, and let’s create memorable Sundays together.","Missionaries of Charity","Cospicua, Malta",Ongoing,Active,"Family Friendly, Children/Young people, Social/Care giving, Working as part of a team, Working with people",2025-10-30,Yes,No,"admin@joyfromgiving.com","Children, mass, Sunday, South Malta, Cospicua, Sisters of Charity, supportive team, kindness, education, caregiving, teamwork, indoors, church, Bormla Parish, child engagement, helping children, community support, assist, spiritual care, joyful experience, support system.",0,N/A,Yes,No
"Administration Manager","Controlling that the administration of the Foundation is well conducted. Understanding the social, legal and accounting obligations. Working with the respective Maltese service providers. Experience is needed. Maltese language not necessary but appreciated.","Joy From Giving Foundation Marketing","Malta",Ongoing,Active,"Administration, Working Inside, Working as part of a team",2026-09-28,No,No,"admin@joyfromgiving.com","Detail oriented, persistance, team work",0,N/A,Yes,No
"Administrative Support Worker","Are you an organised and detail-oriented individual looking to contribute your skills to a meaningful
cause? We are actively seeking dedicated volunteers like you to join us as Admin Support Volunteers,
providing vital assistance to our hardworking Administrator and other staff in the mornings.
Support the Heart of Operations: As an Admin Support Volunteer, you will play a crucial role in
ensuring the smooth functioning of our organisation. You'll assist our Administrator with various
administrative tasks, such as organising files, managing paperwork, scheduling appointments, and
handling correspondence. Your reliable and efficient support will enable our team to focus on
delivering essential services to those in need.
Join a Supportive Community: When you become an Admin Support Volunteer, you'll join a team of
like-minded individuals who share a passion for making a difference. You'll have the opportunity to
work alongside our dedicated staff and experience the rewards of teamwork and collaboration.","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Administration, Working Inside",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Artists! ","We are seeking talented volunteer artists to hold creative sessions for adults using our services. Your artistic skills and enthusiasm can make a significant impact on their lives by fostering creativity and self-expression."," YMCA","Msida, Malta",One-time,Active,"Social/Care giving, Working Inside, Working with people, Working as part of a team",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Assistant Scout Leaders","We need volunteer scout leaders to help us organise outings and weekly meetings to children and young persons attending the Mgarr Scouts Group. ","Mgarr Scouts Group","Mġarr, Malta",Ongoing,Active,"Children/Young people, Educational, Working with people, Working as part of a team, Sports and Recreation",2024-12-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Basic Gardening Work","At one of our residential homes in Hamrun, we have a front garden.  We need volunteers to help us in the upkeep of this front garden. ","","Hamrun, Malta",Ongoing,Active,"Make a positive difference in the community, Helping Others, Working Outdoors, Environment, Health and Human Services, Gardening",2025-07-13,No,No,"admin@joyfromgiving.com","At one of our residential homes in Hamrun, we have a front garden.  We need volunteers to help us in the upkeep of this front garden. ",3,N/A,Yes,No
"Be a Literacy Mentor: Support Immigrants at Blue Door Foundation","Join the Blue Door Foundation in making a meaningful impact by assisting immigrants in developing essential literacy skills. Dedicate your time to helping adults and young adults improve their English language proficiency in a supportive and welcoming environment. This on-site opportunity is perfect for compassionate individuals who are patient, enthusiastic, and passionate about education. Whether you have teaching experience or simply a love for helping others, your efforts will empower participants to navigate their new surroundings with confidence. Together, let’s open doors to brighter futures through the gift of literacy.","Blue Door Foundation ","Valletta, Malta",Ongoing,Active,"Help individuals in need., Create a more just and equitable world, Improve the lives of others, Helping Others, Equality and Social Justice, Working as part of a team, Working with people, Education, Health and Human Services, International Aid, Teaching",2025-07-30,No,No,"admin@joyfromgiving.com","literacy skills, English language, immigrants, adult education, mentoring, teaching, Blue Door Foundation, community, empowerment, reading, writing, communication, inclusion, cultural integration, education support, life skills.",0,5,Yes,No
"Be the Driver of Change: Collect Bazaar Items!","Put your passion for helping others into action by collecting items for our bazaars across Malta! As a collector for the Building Bridges organization, you’ll drive to various locations to gather donations, ensuring that these treasures make their way to our events. Your role is vital in supporting the success of our bazaars, which bring communities together and fund important initiatives. If you enjoy being on the road, organizing logistics, and being part of a meaningful cause, this opportunity is for you. Join us in creating connections, one pickup at a time, and help turn generosity into tangible impact!","Building Bridges","Mosta, Malta",One-time,Active,"Retail, Working Outdoors, Working alone, Environmental",2026-11-30,No,No,"admin@joyfromgiving.com"," item collection, bazaar, donations, community support, Building Bridges, delivery, driving, logistics, event preparation, treasure collection, helping hands, social impact, meaningful role, teamwork.",0,3,Yes,No
"Biology Tutor","To assist some of our clients at the Jesuit Refugee Services by providing Biology classes (O'level standard). ","Jesuit Refugee Services","Floriana, Malta",Ongoing,Active,"Educational, Social/Care giving, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Assistant","Helping out in our charity shop in Ħal Tarxien.  Funds raised from this charity shop are used in our community development projects.  ","Jeanne Antide Foundation","Tarxien, Malta",Ongoing,Active,"Retail, Social/Care giving, Working Inside, Working with people",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Assistant - Marsascala","Assisting in the Marsascala charity shop.  Funds raised from these shops are used to maintain and support our work with stray cats. ","Happy Paws","Marsaskala, Malta",Ongoing,Active,"Animal care, Retail, Working Inside",2025-01-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Assistant - San Gwann","Helping the Malta Society for the prevention and cruelty of animals to to run one of its charity shops. ","MSPCA","San Ġwann, Malta",Ongoing,Active,"Animal care, Retail, Working Inside, Working with people",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Assistant - Santa Venera","Helping out at one of our charity shops! Funds from these shops will be used in our work with stray cats.  ","Happy Paws","Fleur-de-Lys, Birkirkara, Malta",One-time,Active,"Animal care, Working with people, Working Inside, Retail",2025-01-31,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Assistant - Sliema","Helping the Malta Society for the prevention and cruelty of animals to to run one of its charity shops. ","MSPCA","Sliema, Malta",Ongoing,Active,"Animal care, Retail, Working with people, Working Inside",2025-02-28,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Webpage Management","We are seeking enthusiastic volunteers to help manage the website for our YMCA charity shop. Your contribution will play a crucial role in supporting our mission and enhancing our online presence."," YMCA","Valletta, Malta",One-time,Active,"Administration, Social/Care giving, Working Inside, Working alone",2024-12-31,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Charity Shop Webpage Management","We are seeking enthusiastic volunteers to help manage the website for our YMCA charity shop. Your contribution will play a crucial role in supporting our mission and enhancing our online presence."," YMCA","Valletta, Malta",One-time,Active,"Administration, Social/Care giving, Working Inside, Working alone",2024-12-31,No,Yes,"admin@joyfromgiving.com","",0,N/A,Yes,No
"Chemistry Tutors","To assist service users at JRS with Chemistry classes (O'Level). Classes can also be held online.  ","Jesuit Refugee Services","Floriana, Malta",One-time,Active,"Educational, Working Inside, Working with people, Working as part of a team",2025-01-31,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Cleaning of Premises","We are looking for dedicated volunteers to help us maintain a clean and welcoming environment at our facility. Your assistance will greatly support our efforts to provide a safe and pleasant space for everyone."," YMCA","Valletta, Malta",One-time,Active,"Maintenance, Social/Care giving, Working Inside, Working with people",2025-02-28,No,No,"admin@joyfromgiving.com","",1,N/A,Yes,No
"Cleaning up ","We are seeking dedicated volunteers to help us maintain a clean and welcoming environment at our child residential home. Your support will make a significant difference in the lives of the children we care for.","St Rita Home Tarxien","Tarxien, Malta",One-time,Active,"Children/Young people, Working Inside, Working alone, Working with people",2025-04-30,No,No,"admin@joyfromgiving.com","",0,N/A,Yes,No
